SUMMARY,TEAM_ID,TEAM_CITY,TEAM_NAME,START_YEAR,END_YEAR,YEARS,GAMES,WINS,LOSSES,WIN_PCT,PO_APPEARANCES,DIV_TITLES,CONF_TITLES,LEAGUE_TITLES,TEAM_ABBREVIATION,COLOR_1,COLOR_2,COLOR_3,COLOR_4,COLOR_5
Y,1610612737,Atlanta,Hawks,1949,2016,68,5315,2656,2659,0.499,45,11,0,1,ATL,#E03A3E,#C3D600,#FFFFFF,#000000,
N,1610612737,Atlanta,Hawks,1968,2016,49,3895,1957,1938,0.502,32,5,0,0,ATL,,,,,
N,1610612737,St. Louis,Hawks,1955,1967,13,1008,555,453,0.55,12,6,0,1,STL,,,,,
N,1610612737,Milwaukee,Hawks,1951,1954,4,280,90,190,0.321,0,0,0,0,MIH,,,,,
N,1610612737,Tri-Cities,Blackhawks,1949,1950,2,132,54,78,0.409,1,0,0,0,TCB,,,,,
Y,1610612738,Boston,Celtics,1946,2016,71,5485,3224,2260,0.587,53,30,9,17,BOS,#008348,#000000,#FFFFFF,#FFD700,#C0C0C0
Y,1610612751,Brooklyn,Nets,1976,2016,41,3239,1363,1876,0.42,19,4,2,0,BKN,#FFFFFF,#000000,,,
N,1610612751,Brooklyn,Nets,2012,2016,5,335,155,180,0.462,3,0,0,0,BKN,,,,,
N,1610612751,New Jersey,Nets,1977,2011,35,2822,1186,1636,0.42,16,4,2,0,NJN,,,,,
N,1610612751,New York,Nets,1976,1976,1,82,22,60,0.268,0,0,0,0,NYN,,,,,
Y,1610612766,Charlotte,Hornets,1988,2016,27,2090,921,1169,0.44,10,1,0,0,CHA,#1D1160,#008CA8,#FFFFFF,#A1A1A4,
N,1610612766,Charlotte,Hornets,1988,2016,17,1286,628,658,0.488,10,1,0,0,CHH,,,,,
N,1610612766,Charlotte,Bobcats,2004,2013,10,804,293,511,0.364,2,0,0,0,CHA,,,,,
Y,1610612741,Chicago,Bulls,1966,2016,51,4058,2119,1939,0.522,34,9,6,6,CHI,#CE1141,#FFFFFF,#000000,,
Y,1610612739,Cleveland,Cavaliers,1970,2016,47,3731,1734,1997,0.464,20,6,3,1,CLE,#860038,#FDBB30,#002D62,#FFFFFF,
Y,1610612742,Dallas,Mavericks,1980,2016,37,2911,1484,1427,0.509,21,3,2,1,DAL,#007DC5,#C4CED3,#20385B,#000000,#FFFFFF
Y,1610612743,Denver,Nuggets,1976,2016,41,3239,1566,1673,0.483,24,7,0,0,DEN,#4FA8FF,#FFB20F,#004770,#FFFFFF,
Y,1610612765,Detroit,Pistons,1948,2016,69,5377,2621,2756,0.487,41,12,5,3,DET,#006BB6,#ED174C,#001F70,#FFFFFF,
N,1610612765,Detroit,Pistons,1957,2016,60,4756,2307,2449,0.485,33,9,5,3,DET,,,,,
N,1610612765,Ft. Wayne Zollner,Pistons,1948,1956,9,621,314,307,0.505,8,3,0,0,FTW,,,,,
Y,1610612744,Golden State,Warriors,1946,2016,71,5481,2595,2886,0.473,32,9,3,4,GSW,#006BB6,#FDB927,,,
N,1610612744,Golden State,Warriors,1971,2016,46,3649,1707,1942,0.467,15,4,3,2,GOS,,,,,
N,1610612744,Golden State,Warriors,1971,2016,46,3649,1707,1942,0.467,15,4,3,2,GSW,,,,,
N,1610612744,San Francisco,Warriors,1962,1970,9,729,330,399,0.452,5,2,0,0,SFW,,,,,
N,1610612744,Philadelphia,Warriors,1946,1961,16,1103,558,545,0.505,12,3,0,2,PHW,,,,,
Y,1610612745,Houston,Rockets,1967,2016,50,3977,2056,1921,0.516,30,5,4,2,HOU,#CE1141,#C4CED3,#FDB927,#FFFFFF,#000000
N,1610612745,Houston,Rockets,1971,2016,46,3649,1937,1712,0.53,29,5,4,2,HOU,,,,,
N,1610612745,San Diego,Rockets,1967,1970,4,328,119,209,0.362,1,0,0,0,SDR,,,,,
Y,1610612754,Indiana,Pacers,1976,2016,41,3239,1609,1629,0.496,23,6,1,0,IND,#00275D,#FFC633,#BEC0C2,#FFFFFF,
Y,1610612746,Los Angeles,Clippers,1970,2016,47,3731,1475,2256,0.395,12,3,0,0,LAC,#ED174C,#006BB6,#BEC0C2,#FFFFFF,#00285D
N,1610612746,Los Angeles,Clippers,2015,2016,2,89,59,30,0.662,1,1,0,0,LAC,,,,,
N,1610612746,Los Angeles,Clippers,1984,2014,31,2494,971,1523,0.389,8,2,0,0,LAC,,,,,
N,1610612746,San Diego,Clippers,1978,1983,6,492,186,306,0.378,0,0,0,0,SDC,,,,,
N,1610612746,Buffalo,Braves,1970,1977,8,656,259,397,0.394,3,0,0,0,BUF,,,,,
Y,1610612747,Los Angeles,Lakers,1948,2016,69,5380,3241,2139,0.602,60,34,18,16,LAL,#552582,#FDB927,#FFFFFF,,
N,1610612747,Los Angeles,Lakers,1960,2016,57,4538,2782,1756,0.613,49,29,18,11,LAL,,,,,
N,1610612747,Minneapolis,Lakers,1948,1959,12,842,459,383,0.545,11,5,0,5,MNL,,,,,
Y,1610612763,Memphis,Grizzlies,1995,2016,22,1682,698,984,0.414,9,0,0,0,MEM,#23375B,#6189B9,#BBD1E4,#FFD432,
N,1610612763,Memphis,Grizzlies,2001,2016,16,1222,597,625,0.488,9,0,0,0,MEM,,,,,
N,1610612763,Vancouver,Grizzlies,1995,2000,6,460,101,359,0.219,0,0,0,0,VAN,,,,,
Y,1610612748,Miami,Heat,1988,2016,29,2254,1172,1082,0.519,19,12,5,3,MIA,#98002E,#F9A01B,#FFFFFF,#000000,
Y,1610612749,Milwaukee,Bucks,1968,2016,49,3895,1987,1908,0.51,28,13,2,1,MIL,#00471B,#EEE1C6,#0077C0,#FFFFFF,#000000
Y,1610612750,Minnesota,Timberwolves,1989,2016,28,2172,848,1324,0.39,8,1,0,0,MIN,#005083,#C4CED3,#00A94F,#FFFFFF,#000000
Y,1610612740,New Orleans,Pelicans,2002,2016,15,1140,528,612,0.463,6,1,0,0,NOP,#002B5C,#B4975A,#E31937,#FFFFFF,
N,1610612740,New Orleans,Pelicans,2013,2016,4,254,109,145,0.429,1,0,0,0,NOP,,,,,
N,1610612740,New Orleans,Hornets,2002,2012,9,722,342,380,0.473,5,1,0,0,NOH,,,,,
N,1610612740,New Orleans/Oklahoma City,Hornets,2005,2006,2,164,77,87,0.469,0,0,0,0,NOK,,,,,
Y,1610612752,New York,Knicks,1946,2016,71,5482,2703,2779,0.493,41,9,4,2,NYK,#006BB6,#F58426,#FFFFFF,#BEC0C2,
Y,1610612760,Oklahoma City,Thunder,1967,2016,50,3977,2145,1832,0.539,28,12,4,1,OKC,#007DC3,#F05133,#FDBB30,#002D62,
N,1610612760,Oklahoma City,Thunder,2008,2016,9,647,400,247,0.618,6,6,1,0,OKC,,,,,
N,1610612760,Seattle,SuperSonics,1967,2007,41,3330,1745,1585,0.524,22,6,3,1,SEA,,,,,
Y,1610612753,Orlando,Magic,1989,2016,28,2173,1065,1108,0.49,14,6,2,0,ORL,#007DC5,#C4CED3,#FFFFFF,#000000,
Y,1610612755,Philadelphia,76ers,1949,2016,68,5311,2727,2584,0.513,47,12,5,3,PHI,#006BB6,#ED174C,#FFFFFF,,
N,1610612755,Philadelphia,76ers,1963,2016,54,4297,2150,2147,0.5,33,9,5,2,PHI,,,,,
N,1610612755,Syracuse,Nationals,1949,1962,14,1014,577,437,0.569,14,3,0,1,SYR,,,,,
Y,1610612756,Phoenix,Suns,1968,2016,49,3896,2124,1772,0.545,29,6,2,0,PHX,#E56020,#1D1160,#63717A,#FFFFFF,#000000
Y,1610612757,Portland,Trail Blazers,1970,2016,47,3732,1996,1736,0.534,32,5,3,1,POR,#F0163A,#B6BFBF,#FFFFFF,#000000,
Y,1610612758,Sacramento,Kings,1948,2016,69,5379,2468,2911,0.458,29,6,0,1,SAC,#724C9F,#8E9090,#FFFFFF,#000000,
N,1610612758,Sacramento,Kings,1985,2016,32,2503,1062,1441,0.424,10,2,0,0,SAC,,,,,
N,1610612758,Kansas City,Kings,1975,1984,10,820,381,439,0.464,4,1,0,0,KCK,,,,,
N,1610612758,Kansas City-Omaha,Kings,1972,1974,3,246,113,133,0.459,1,0,0,0,KCK,,,,,
N,1610612758,Cincinnati,Royals,1957,1971,15,1189,555,634,0.466,7,0,0,0,CIN,,,,,
N,1610612758,Rochester,Royals,1948,1956,9,621,357,264,0.574,7,3,0,1,ROC,,,,,
Y,1610612759,San Antonio,Spurs,1976,2016,41,3239,2011,1228,0.62,36,22,6,5,SAS,#B6BFBF,#FFFFFF,#000000,,
Y,1610612761,Toronto,Raptors,1995,2016,22,1680,738,942,0.439,8,5,0,0,TOR,#CE1141,#C4CED3,#FFFFFF,,
N,1610612761,Toronto,Raptors,1995,2016,22,1680,738,942,0.439,8,5,0,0,TOT,#CE1141,#C4CED3,#FFFFFF,#BEC0C2,
Y,1610612762,Utah,Jazz,1974,2016,43,3404,1820,1584,0.534,25,9,2,0,UTA,#002B5C,#F9A01B,#00471B,,
N,1610612762,Utah,Jazz,1979,2016,38,2994,1659,1335,0.554,25,9,2,0,UTA,,,,,
N,1610612762,New Orleans,Jazz,1974,1978,5,410,161,249,0.392,0,0,0,0,NOJ,,,,#FFFFFF,
Y,1610612764,Washington,Wizards,1961,2016,56,4457,2005,2452,0.449,27,7,4,1,WAS,#002566,#F5002F,#C2CCCC,,
N,1610612764,Washington,Wizards,1997,2016,20,1516,627,889,0.413,6,0,0,0,WAS,,,,,
N,1610612764,Washington,Bullets,1974,1996,23,1886,887,999,0.47,13,2,3,1,WAS,,,,,
N,1610612764,Capital,Bullets,1973,1973,1,82,47,35,0.573,1,1,0,0,CAP,,,,,
N,1610612764,Baltimore,Bullets,1963,1972,10,813,401,412,0.493,7,4,1,0,BLT,,,,,
N,1610612764,Chicago,Zephyrs,1962,1962,1,80,25,55,0.312,0,0,0,0,CHZ,,,,,
N,1610612764,Chicago,Packers,1961,1961,1,80,18,62,0.225,0,0,0,0,CHP,,,,,
